Fiscal Year,Service,Department,Program,Expense Category,Fund,Fund Type,Expense Type,Description,Recommended Amount,Approved Amount
2015,Health & Human Services,Human Services,CDBG - Human Services Department,Leadership and Corporate Services,NA,NA,Expense,Leadership and Corporate Services,0,1042364
2015,Health & Human Services,Human Services,Community Support and Assistance,Access to Benefits,NA,NA,Expense,Access to Benefits,0,1542424
2015,Health & Human Services,Human Services,Community Support and Assistance,Community Facilities,NA,NA,Expense,Community Facilities,0,2569076
2015,Health & Human Services,Human Services,Community Support and Assistance,Emergency and Transitional Services,NA,NA,Expense,Emergency and Transitional Services,0,39045185
2015,Health & Human Services,Human Services,Community Support and Assistance,Mayor's Office of Domestic Violence and Sexual Assault Prevention,NA,NA,Expense,Mayor's Office of Domestic Violence and Sexual Assault Prevention,0,5898814
2017,Public Safety,Police,Chief of Police,Chief of Police,NA,NA,Expense,Chief of Police,0,9961761
2015,Health & Human Services,Human Services,Leadership and Administration,Data Integrity,NA,NA,Expense,Data Integrity,0,1798291
2015,Health & Human Services,Human Services,Leadership and Administration,Fiscal and Contract Administration,NA,NA,Expense,Fiscal and Contract Administration,0,2597905
2015,Health & Human Services,Human Services,Leadership and Administration,Human Resources,NA,NA,Expense,Human Resources,0,792997
2015,Health & Human Services,Human Services,Leadership and Administration,Leadership,NA,NA,Expense,Leadership,0,2952561
2015,Health & Human Services,Human Services,Public Health Services,Alcohol and Other Drugs,NA,NA,Expense,Alcohol and Other Drugs,0,1546039
2015,Health & Human Services,Human Services,Public Health Services,Asthma,NA,NA,Expense,Asthma,0,137110
2015,Health & Human Services,Human Services,Public Health Services,Health Care Access,NA,NA,Expense,Health Care Access,0,352840
2015,Health & Human Services,Human Services,Public Health Services,Health Care for the Homeless,NA,NA,Expense,Health Care for the Homeless,0,1630952
2015,Health & Human Services,Human Services,Public Health Services,HIV/AIDS,NA,NA,Expense,HIV/AIDS,0,874779
2015,Health & Human Services,Human Services,Public Health Services,Oral Health,NA,NA,Expense,Oral Health,0,133299
2015,Health & Human Services,Human Services,Public Health Services,Primary Care: Medical and Dental,NA,NA,Expense,Primary Care: Medical and Dental,0,6894815
2015,Health & Human Services,Human Services,Youth and Family Empowerment,Early Learning and Family Support,NA,NA,Expense,Early Learning and Family Support,0,2532483
2015,Health & Human Services,Human Services,Youth and Family Empowerment,Family Support,NA,NA,Expense,Family Support,0,-2773
2014,Health & Human Services,Human Services,Aging and Disability Services - Area Agency on Aging,Healthy Aging,NA,NA,Expense,Healthy Aging,0,7905141
2014,Health & Human Services,Human Services,Aging and Disability Services - Area Agency on Aging,Home-Based Care,NA,NA,Expense,Home-Based Care,0,24118645
2014,Health & Human Services,Human Services,Aging and Disability Services - Area Agency on Aging,Mayor's Office on Senior Citizens,NA,NA,Expense,Mayor's Office on Senior Citizens,0,543124
2014,Health & Human Services,Human Services,Aging and Disability Services - Area Agency on Aging,Planning and Coordination,NA,NA,Expense,Planning and Coordination,0,2626343
2014,Health & Human Services,Human Services,CDBG - Human Services Department,Employment Support Services,NA,NA,Expense,Employment Support Services,0,400000
2014,Health & Human Services,Human Services,CDBG - Human Services Department,Homeless Intervention,NA,NA,Expense,Homeless Intervention,0,3765594
2014,Health & Human Services,Human Services,CDBG - Human Services Department,Leadership and Corporate Services,NA,NA,Expense,Leadership and Corporate Services,0,987845
2014,Health & Human Services,Human Services,Community Support and Assistance,Access to Benefits,NA,NA,Expense,Access to Benefits,0,1744061
2014,Health & Human Services,Human Services,Community Support and Assistance,Community Facilities,NA,NA,Expense,Community Facilities,0,660001
2014,Health & Human Services,Human Services,Community Support and Assistance,Emergency and Transitional Services,NA,NA,Expense,Emergency and Transitional Services,0,32562971
2014,Health & Human Services,Human Services,Community Support and Assistance,Mayor's Office of Domestic Violence and Sexual Assault Prevention,NA,NA,Expense,Mayor's Office of Domestic Violence and Sexual Assault Prevention,0,5446074
2014,Health & Human Services,Human Services,Community Support and Self Sufficiency,Access to Benefits,NA,NA,Expense,Access to Benefits,0,0
2014,Health & Human Services,Human Services,Community Support and Self Sufficiency,Community Based Family Support,NA,NA,Expense,Community Based Family Support,0,0
2014,Health & Human Services,Human Services,Community Support and Self Sufficiency,Domestic Violence and Sexual Assault Prevention,NA,NA,Expense,Domestic Violence and Sexual Assault Prevention,0,0
2014,Health & Human Services,Human Services,Community Support and Self Sufficiency,Mayor's Office for Senior Citizens,NA,NA,Expense,Mayor's Office for Senior Citizens,0,0
2014,Health & Human Services,Human Services,Leadership and Administration,Data Integrity,NA,NA,Expense,Data Integrity,0,2802688
2014,Health & Human Services,Human Services,Leadership and Administration,Fiscal and Contract Administration,NA,NA,Expense,Fiscal and Contract Administration,0,2701106
2014,Health & Human Services,Human Services,Leadership and Administration,Human Resources,NA,NA,Expense,Human Resources,0,725017
2014,Health & Human Services,Human Services,Leadership and Administration,Leadership,NA,NA,Expense,Leadership,0,2892880
2014,Health & Human Services,Human Services,Public Health Services,Alcohol and Other Drugs,NA,NA,Expense,Alcohol and Other Drugs,0,1514240
2014,Health & Human Services,Human Services,Public Health Services,Asthma,NA,NA,Expense,Asthma,0,134290
2014,Health & Human Services,Human Services,Public Health Services,Family Support Services,NA,NA,Expense,Family Support Services,0,2285310
2014,Health & Human Services,Human Services,Public Health Services,Health Care Access,NA,NA,Expense,Health Care Access,0,392125
2014,Health & Human Services,Human Services,Public Health Services,Health Care for the Homeless,NA,NA,Expense,Health Care for the Homeless,0,1597406
2014,Health & Human Services,Human Services,Public Health Services,HIV/AIDS,NA,NA,Expense,HIV/AIDS,0,856786
2014,Health & Human Services,Human Services,Public Health Services,Oral Health,NA,NA,Expense,Oral Health,0,130557
2013,Public Safety,Law,Criminal,Criminal,NA,NA,Expense,Criminal,0,6547297.75
2014,Health & Human Services,Human Services,Public Health Services,Primary Care: Medical and Dental,NA,NA,Expense,Primary Care: Medical and Dental,0,6818045
2014,Health & Human Services,Human Services,Youth and Family Empowerment,Early Learning and Family Support,NA,NA,Expense,Early Learning and Family Support,0,9276214
2014,Health & Human Services,Human Services,Youth and Family Empowerment,Family Support,NA,NA,Expense,Family Support,0,3667917
2014,Health & Human Services,Human Services,Youth and Family Empowerment,Youth Services,NA,NA,Expense,Youth Services,0,12108415
2013,Health & Human Services,Human Services,Aging and Disability Services - Area Agency on Aging,Healthy Aging,NA,NA,Expense,Healthy Aging,0,7743018.76
2013,Health & Human Services,Human Services,Aging and Disability Services - Area Agency on Aging,Home-Based Care,NA,NA,Expense,Home-Based Care,0,25260431.01
2013,Health & Human Services,Human Services,Aging and Disability Services - Area Agency on Aging,Planning and Coordination,NA,NA,Expense,Planning and Coordination,0,2494583.86
2013,Health & Human Services,Human Services,CDBG - Human Services Department,Employment Support Services,NA,NA,Expense,Employment Support Services,0,60000
2013,Health & Human Services,Human Services,CDBG - Human Services Department,Homeless Intervention,NA,NA,Expense,Homeless Intervention,0,3353244.03
2013,Health & Human Services,Human Services,CDBG - Human Services Department,Leadership and Corporate Services,NA,NA,Expense,Leadership and Corporate Services,0,987844.92
2013,Health & Human Services,Human Services,Community Facilities,Community Facilities,NA,NA,Expense,Community Facilities,0,
2013,Health & Human Services,Human Services,Community Support and Self Sufficiency,Access to Benefits,NA,NA,Expense,Access to Benefits,0,1843414.14
2013,Health & Human Services,Human Services,Community Support and Self Sufficiency,Community Based Family Support,NA,NA,Expense,Community Based Family Support,0,3591623.15
2013,Health & Human Services,Human Services,Community Support and Self Sufficiency,Domestic Violence and Sexual Assault Prevention,NA,NA,Expense,Domestic Violence and Sexual Assault Prevention,0,5136984.9
2013,Health & Human Services,Human Services,Community Support and Self Sufficiency,Mayor's Office for Senior Citizens,NA,NA,Expense,Mayor's Office for Senior Citizens,0,494139.75
2013,Health & Human Services,Human Services,Domestic and Sexual Violence Prevention,Domestic and Sexual Violence Prevention,NA,NA,Expense,Domestic and Sexual Violence Prevention,0,
2013,Health & Human Services,Human Services,Early Learning and Family Support,Early Learning and Family Support,NA,NA,Expense,Early Learning and Family Support,0,
2013,Health & Human Services,Human Services,Leadership and Administration,Data Integrity,NA,NA,Expense,Data Integrity,0,2834525.79
2013,Health & Human Services,Human Services,Leadership and Administration,Fiscal and Contract Administration,NA,NA,Expense,Fiscal and Contract Administration,0,2656679.47
2013,Health & Human Services,Human Services,Leadership and Administration,Human Resources,NA,NA,Expense,Human Resources,0,782251.46
2013,Health & Human Services,Human Services,Leadership and Administration,Leadership,NA,NA,Expense,Leadership,0,2791540.34
2013,Health & Human Services,Human Services,Public Health Services,Alcohol and Other Drugs,NA,NA,Expense,Alcohol and Other Drugs,0,1480195.44
2013,Health & Human Services,Human Services,Public Health Services,Asthma,NA,NA,Expense,Asthma,0,131270.94
2013,Health & Human Services,Human Services,Public Health Services,Family Support Services,NA,NA,Expense,Family Support Services,0,1641672.32
2013,Health & Human Services,Human Services,Public Health Services,Health Care Access,NA,NA,Expense,Health Care Access,0,266006.82
2013,Health & Human Services,Human Services,Public Health Services,Health Care for the Homeless,NA,NA,Expense,Health Care for the Homeless,0,1561491.48
2013,Health & Human Services,Human Services,Public Health Services,HIV/AIDS,NA,NA,Expense,HIV/AIDS,0,837523.02
2013,Health & Human Services,Human Services,Public Health Services,Oral Health,NA,NA,Expense,Oral Health,0,127621.38
2013,Health & Human Services,Human Services,Public Health Services,Primary Care: Medical and Dental,NA,NA,Expense,Primary Care: Medical and Dental,0,6664755.48
2013,Health & Human Services,Human Services,Self-Sufficiency,Self-Sufficiency,NA,NA,Expense,Self-Sufficiency,0,
2013,Health & Human Services,Human Services,Transitional Living and Support,Community Facilities,NA,NA,Expense,Community Facilities,0,599825.68
2013,Health & Human Services,Human Services,Transitional Living and Support,Emergency and Transitional Services,NA,NA,Expense,Emergency and Transitional Services,0,29523536.94
2013,Health & Human Services,Human Services,Youth and Family Empowerment,Early Learning and Family Support,NA,NA,Expense,Early Learning and Family Support,0,9056877.57
2013,Health & Human Services,Human Services,Youth and Family Empowerment,Youth Services,NA,NA,Expense,Youth Services,0,11647111.71
2013,Health & Human Services,Human Services,Youth Development and Achievement,Youth Development and Achievement,NA,NA,Expense,Youth Development and Achievement,0,
2012,Health & Human Services,Human Services,Aging and Disability Services - Area Agency on Aging,Healthy Aging,NA,NA,Expense,Healthy Aging,0,7649738
2012,Health & Human Services,Human Services,Aging and Disability Services - Area Agency on Aging,Home-Based Care,NA,NA,Expense,Home-Based Care,0,22454673.94
2012,Health & Human Services,Human Services,Aging and Disability Services - Area Agency on Aging,Planning and Coordination,NA,NA,Expense,Planning and Coordination,0,2672986.43
2012,Health & Human Services,Human Services,CDBG - Human Services Department,Homeless Intervention,NA,NA,Expense,Homeless Intervention,0,3833569.03
2012,Health & Human Services,Human Services,CDBG - Human Services Department,Leadership and Corporate Services,NA,NA,Expense,Leadership and Corporate Services,0,987824.92
2012,Health & Human Services,Human Services,Community Facilities,Community Facilities,NA,NA,Expense,Community Facilities,0,0
2012,Health & Human Services,Human Services,Community Support and Self Sufficiency,Access to Benefits,NA,NA,Expense,Access to Benefits,0,1532927.21
2012,Health & Human Services,Human Services,Community Support and Self Sufficiency,Community Based Family Support,NA,NA,Expense,Community Based Family Support,0,5299174.39
2012,Health & Human Services,Human Services,Community Support and Self Sufficiency,Domestic Violence and Sexual Assault Prevention,NA,NA,Expense,Domestic Violence and Sexual Assault Prevention,0,4403992.04
2012,Health & Human Services,Human Services,Community Support and Self Sufficiency,Mayor's Office for Senior Citizens,NA,NA,Expense,Mayor's Office for Senior Citizens,0,614196.43
2012,Health & Human Services,Human Services,Domestic and Sexual Violence Prevention,Domestic and Sexual Violence Prevention,NA,NA,Expense,Domestic and Sexual Violence Prevention,0,0.114
2012,Health & Human Services,Human Services,Early Learning and Family Support,Early Learning and Family Support,NA,NA,Expense,Early Learning and Family Support,0,0.3785
2012,Health & Human Services,Human Services,Leadership and Administration,Financial Management,NA,NA,Expense,Financial Management,0,2081854.99
2012,Health & Human Services,Human Services,Leadership and Administration,Human Resources,NA,NA,Expense,Human Resources,0,673162.77
2012,Health & Human Services,Human Services,Leadership and Administration,Information Technology,NA,NA,Expense,Information Technology,0,1503386.25
2012,Health & Human Services,Human Services,Leadership and Administration,Leadership,NA,NA,Expense,Leadership,0,3027234.29
2012,Health & Human Services,Human Services,Public Health Services,Alcohol and Other Drugs,NA,NA,Expense,Alcohol and Other Drugs,0,1451172
2012,Health & Human Services,Human Services,Public Health Services,Asthma,NA,NA,Expense,Asthma,0,128697
2012,Health & Human Services,Human Services,Public Health Services,Family Support Services,NA,NA,Expense,Family Support Services,0,1017816
